0F 0F 30 3C 0F 36 27 37 0F 21 2A 37 0F 30 16 37	Jane's_Plains
0F 0F 30 3C 0F 36 27 28 0F 12 2A 28 0F 30 16 28	Dusty_Dunes
0F 0F 30 3C 0F 36 27 21 0F 21 10 37 0F 21 10 37	Warp_Zone
0F 0F 30 3C 0F 36 27 3A 0F 12 2A 3A 0F 30 16 3A	Supersized
0F 0F 30 3C 0F 36 27 3B 0F 21 2A 3B 0F 36 21 30	Sky_Heaven
0F 0F 30 3C 0F 36 27 30 0F 22 2A 30 0F 30 22 30	Winter_Wonderland
0F 0F 30 3C 0F 36 27 2A 0F 11 1A 2A 0F 30 16 2A	Pipe_Mayham
0F 0F 30 3C 0F 36 27 17 0F 06 27 17 0F 35 25 17	Koopa_Keep
3C 0F 30 3C 3C 0F 36 27 3C 0F 2A 1A 3C 0F 31 21 Pal_0
36 0F 30 3C 36 0F 36 27 36 0F 2A 1A 36 0F 31 12 Pal_1
37 0F 30 3C 37 0F 36 27 37 0F 2A 1A 37 0F 31 12 Pal_2
3B 0F 30 3C 3B 0F 36 27 3B 0F 2A 1A 3B 0F 31 21 Pal_3
21 0F 30 3C 21 0F 36 27 21 0F 2A 1A 21 0F 31 12 Pal_4
0F 0F 30 3C 0F 0F 36 27 0F 30 0F 0F 0F 01 31 12 Pal_5
37 0F 30 3C 37 0F 36 27 37 0F 2A 1A 37 0F 2C 1C Pal_6
0F 0F 30 3C 0F 06 36 27 0F 0B 2A 1A 0F 02 21 12 Pal_7
0F 0F 30 3C 0F 07 36 27 0F 00 30 10 0F 0C 3C 2C	Pal_0
0F 0F 30 3C 0F 16 2C 27 0F 00 10 30 0F 1C 2C 3C	Pal_1
0F 0F 30 3C 0F 07 36 27 0F 00 30 10 0F 1B 3B 2B	Pal_2
0F 0F 30 3C 0F 07 36 27 0F 0B 3B 1B 0F 02 21 12	Pal_3
0F 0F 30 3C 0F 07 36 27 0F 06 27 16 0F 00 30 10	Pal_4
0F 0F 30 3C 0F 26 23 30 0F 22 21 30 0F 32 13 30	Pal_5
0F 0F 30 3C 0F 07 30 27 0F 30 0F 0F 0F 30 0F 0F	Pal_6
0F 0F 30 3C 0F 06 36 27 0F 0C 30 2A 0F 3C 30 12	Pal_7
3C 0F 30 3C 3C 0F 36 27 3C 0F 2A 1A 3C 0F 2A 12 Pal_0
22 0F 30 3C 22 0F 36 27 22 0F 27 17 22 0F 27 2C Pal_1
37 0F 30 3C 37 0F 36 27 37 0F 2A 1A 37 0F 2A 21 Pal_2
0F 0F 30 3C 0F 0F 36 27 0F 0F 30 10 0F 0F 31 12 Pal_3
0F 0F 30 3C 0F 06 36 27 0F 1C 3C 2A 0F 1C 3C 12 Pal_4
0F 0F 30 3C 0F 06 36 27 0F 07 17 27 0F 07 17 12 Pal_5
0F 0F 30 3C 0F 06 36 27 0F 0F 2A 1A 0F 0F 2A 12 Pal_6
0F 0F 30 3C 0F 06 36 27 0F 3C 30 2A 0F 3C 30 12 Pal_7
3C 0F 30 3C 3C 0F 36 27 3C 0F 2A 1A 3C 0F 30 21	Pal_0
37 0F 30 3C 37 0F 36 27 37 0F 2B 1A 37 0F 30 21	Pal_1
02 0F 30 3C 02 0F 25 24 02 0F 3A 24 02 0F 26 24	Pal_2
0F 0F 30 3C 0F 30 0F 0F 0F 30 0F 0F 0F 30 0F 0F	Pal_3
37 0F 30 3C 37 0F 36 27 37 0F 2A 1A 37 0F 31 21	Pal_4
02 0F 30 3C 02 0F 23 30 02 0F 21 30 02 0F 13 30	Pal_5
0F 0F 30 3C 0F 30 0F 0F 0F 30 0F 0F 0F 30 0F 0F	Pal_6
0F 0F 30 3C 0F 0F 27 17 0F 0F 27 17 0F 0F 25 17	Pal_7
37 0F 30 3C 37 0F 36 27 37 0F 2A 1B 37 0F 30 12	Pal_0
0F 0F 30 3C 0F 0F 36 27 0F 0F 2A 1B 0F 0F 30 12	Pal_1
0F 0F 30 3C 0F 06 36 27 0F 0A 2A 1B 0F 0C 31 12	Pal_2
0F 0F 30 3C 0F 0F 27 38 0F 0F 2A 38 0F 0F 26 38	Pal_3
0F 0F 30 3C 0F 0F 27 30 0F 0F 2A 30 0F 0F 12 30	Pal_4
0F 0F 30 3C 0F 0F 23 30 0F 0F 21 30 0F 0F 13 30	Pal_5
0F 0F 30 3C 0F 0F 27 38 0F 0F 2A 38 0F 0F 26 38	Pal_6
0F 0F 30 3C 0F 0F 27 17 0F 0F 27 17 0F 0F 25 17	Pal_7
12 0F 30 3C 12 0F 36 27 12 0F 01 2C 12 0F 25 10	Pal_0
12 0F 30 3C 12 0F 36 27 12 0F 01 2C 12 0F 30 10	Pal_1
0F 0F 30 3C 0F 0F 27 36 0F 0F 21 36 0F 0F 30 36	Pal_2
22 0F 30 3C 22 0F 36 27 22 0F 30 37 22 0F 25 10	Pal_3
36 0F 30 3C 36 0F 27 17 36 0F 2B 1A 36 0F 3C 12	Pal_4
36 0F 30 3C 36 0F 27 17 36 0F 2B 1A 36 0F 3C 12	Pal_5
36 0F 30 3C 36 0F 27 17 36 0F 2B 1A 36 0F 3C 12	Pal_6
36 0F 30 3C 36 0F 27 17 36 0F 2B 1A 36 0F 3C 12	Pal_7
0F 0F 30 3C 0F 3C 30 3B 0F 27 30 17 0F 12 31 21	Pal_0
0F 0F 30 3C 0F 3C 30 3B 0F 27 30 17 0F 12 31 21	Pal_1
0F 0F 30 3C 0F 17 27 36 0F 2A 21 36 0F 16 30 36	Pal_2
36 0F 30 3C 36 0F 27 17 36 0F 2B 1A 36 0F 3C 12	Pal_3
36 0F 30 3C 36 0F 27 17 36 0F 2B 1A 36 0F 3C 12	Pal_4
36 0F 30 3C 36 0F 27 17 36 0F 2B 1A 36 0F 3C 12	Pal_5
36 0F 30 3C 36 0F 27 17 36 0F 2B 1A 36 0F 3C 12	Pal_6
36 0F 30 3C 36 0F 27 17 36 0F 2B 1A 36 0F 3C 12	Pal_7
0F 0F 30 3C 0F 06 36 27 0F 0B 3B 1B 0F 0F 0C 0F	Pal_0
0F 0F 30 3C 0F 3C 30 3B 0F 27 30 17 0F 12 31 21	Pal_1
0F 0F 30 3C 0F 17 27 36 0F 2A 21 36 0F 16 30 36	Pal_2
36 0F 30 3C 36 0F 27 17 36 0F 2B 1A 36 0F 3C 12 Pal_3
36 0F 30 3C 36 0F 27 17 36 0F 2B 1A 36 0F 3C 12	Pal_4
36 0F 30 3C 36 0F 27 17 36 0F 2B 1A 36 0F 3C 12	Pal_5
36 0F 30 3C 36 0F 27 17 36 0F 2B 1A 36 0F 3C 12	Pal_6
36 0F 30 3C 36 0F 27 17 36 0F 2B 1A 36 0F 3C 12	Pal_7
22 0F 30 3C 22 0F 36 27 22 0F 27 17 22 0F 36 14	Pal_0
36 0F 30 3C 36 0F 36 27 36 0F 2A 1A 36 0F 31 21	Pal_1
0F 0F 30 3C 0F 0F 30 00 0F 0F 1A 0A 0F 0F 31 21	Pal_2
0F 0F 30 3C 0F 0F 36 27 0F 0F 27 17 0F 0F 31 21	Pal_3
36 0F 30 3C 36 0F 36 27 36 0F 27 17 36 0F 31 21	Pal_4
37 0F 30 3C 37 0F 36 27 37 0F 27 17 37 0F 31 21	Pal_5
0F 0F 30 3C 0F 0F 36 27 0F 30 0F 0F 0F 30 0F 0F	Pal_6
22 0F 30 3C 22 0F 36 27 22 0F 2A 1A 22 0F 31 12	Pal_7
3C 0F 30 3C 3C 0F 36 27 3C 0F 30 10 3C 0F 27 17 Pal_0
12 0F 30 3C 12 0F 36 27 12 0F 30 10 12 0F 2B 1B	Pal_1
37 0F 30 3C 37 0F 36 27 37 0F 30 10 37 0F 2C 1C Pal_2
3B 0F 30 3C 3B 0F 36 27 3B 0F 30 10 3B 0F 28 18 Pal_3
31 0F 30 3C 31 0F 36 27 31 0F 30 10 31 0F 21 12	Pal_4
0F 0F 30 3C 0F 0F 0C 0F 0F 0F 30 10 0F 0F 27 17	Pal_5
0F 0F 30 3C 0F 0F 36 27 0F 0F 30 10 0F 0F 27 17	Pal_6
0F 0F 30 3C 0F 0F 36 27 0F 0F 30 10 0F 0F 27 17	Pal_7
3B 0F 30 3C 3B 0F 36 27 3B 0F 2A 1A 3B 0F 31 21	Pal_0
3B 0F 30 3C 3B 0F 36 27 3B 0F 2A 1A 3B 0F 35 12	Pal_1
0F 0F 30 3C 0F 0F 30 10 0F 00 00 10 0F 02 31 21	Pal_2
0F 0F 30 3C 0F 0F 36 27 0F 0F 27 16 0F 0F 10 00	Pal_3
30 0F 30 3C 30 0F 36 27 30 0F 30 21 30 0F 36 21	Pal_4
0F 0F 30 3C 0F 06 36 27 0F 30 0F 0F 0F 30 31 21	Pal_5
0F 0F 30 3C 0F 36 27 38 0F 21 2A 38 0F 36 26 38	Pal_6
0F 0F 30 3C 0F 36 27 17 0F 06 27 17 0F 35 25 17	Pal_7
31 0F 30 3C 31 0F 30 27 31 0F 30 2A 31 0F 30 12	Pal_0
0F 0F 30 3C 0F 06 0F 27 0F 0F 0F 2A 0F 0F 30 12	Pal_1
0F 0F 30 3C 0F 0F 25 24 0F 0F 3A 24 0F 0F 26 24	Pal_2
0F 0F 30 3C 0F 0F 27 38 0F 0F 2A 38 0F 0F 26 38 Pal_3
0F 0F 30 3C 0F 0F 27 30 0F 0F 2A 30 0F 0F 12 30	Pal_4
0F 0F 30 3C 0F 0F 23 30 0F 0F 21 30 0F 0F 13 30	Pal_5
0F 0F 30 3C 0F 0F 27 38 0F 0F 2A 38 0F 0F 26 38	Pal_6
0F 0F 30 3C 0F 0F 27 17 0F 0F 27 17 0F 0F 25 17	Pal_7
30 0F 30 3C 30 0F 36 27 30 0F 2A 1A 30 0F 12 21	Pal_0
10 0F 30 3C 10 0F 36 27 10 0F 2A 1A 10 0F 14 16	Pal_1
3C 0F 30 3C 3C 0F 36 27 3C 0F 2A 1A 3C 0F 30 12	Pal_2
30 0F 30 3C 30 0F 36 27 30 0F 37 01 30 0F 37 21	Pal_3
30 0F 30 3C 30 0F 36 27 30 0F 12 21 30 0F 12 21	Pal_4
0F 0F 30 3C 0F 0F 23 30 0F 0F 21 30 0F 0F 13 30	Pal_5
0F 0F 30 3C 0F 0F 27 38 0F 0F 2A 38 0F 0F 26 38	Pal_6
0F 0F 30 3C 0F 0F 27 17 0F 0F 27 17 0F 0F 25 17	Pal_7
